"Database Name","Allergenecity","IUIS Name","Source","Link","Species","Common Name","Description","Accession","Length","Route of allergen exposure","Group1","Gene ID","Biochemical Name","MW(SDS-PAGE)","Authority","Habitat","Organism Type"
"Allergome","Allergen Molecule","Aca au 1","Acanthopagrus australis, Animals,?Chrysophrys australis, Fishes,?Roughleyia australis, Silver Bream,?Sparidae, Surf Bream, Yellowfin Bream","http://www.allergome.org/script/dettaglio.php?id_molecule=11713","Species data not found","Common Name not specified because species data is not included","Protein Description data not found","Accesion Number not found","The number of amino acids for allergen not found","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Taxon author not found","Habitat of species not found","Organism type not found"
"Allergome","Allergen Molecule","Aca s 1","Acaridae,?Acarus siro, Animals, Arthropods, Mites","http://www.allergome.org/script/dettaglio.php?id_molecule=3899","Species data not found","Common Name not specified because species data is not included","Protein Description data not found","Accesion Number not found","The number of amino acids for allergen not found","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Taxon author not found","Habitat of species not found","Organism type not found"
"Allergome","Allergen Molecule","Aca s 10","Acaridae,?Acarus siro, Animals, Arthropods, Mites","http://www.allergome.org/script/dettaglio.php?id_molecule=4150","Species data not found","Common Name not specified because species data is not included","Protein Description data not found","Accesion Number not found","The number of amino acids for allergen not found","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Taxon author not found","Habitat of species not found","Organism type not found"
"Allergome","Allergen Molecule","Aca s 10.0101","Acaridae,?Acarus siro, Animals, Arthropods, Mites","http://www.allergome.org/script/dettaglio.php?id_molecule=4151","Species data not found","Common Name not specified because species data is not included","Protein Description data not found","Accesion Number not found","The number of amino acids for allergen not found","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Taxon author not found","Habitat of species not found","Organism type not found"
"Allergome","Allergen Molecule","Aca s 13","Acaridae,?Acarus siro, Animals, Arthropods, Mites","http://www.allergome.org/script/dettaglio.php?id_molecule=2","Species data not found","Common Name not specified because species data is not included","Protein Description data not found","Accesion Number not found","The number of amino acids for allergen not found","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Taxon author not found","Habitat of species not found","Organism type not found"
"Allergome","Allergen Molecule","Aca s 13.0101","Acaridae,?Acarus siro, Animals, Arthropods, Mites","http://www.allergome.org/script/dettaglio.php?id_molecule=3051","Species data not found","Common Name not specified because species data is not included","Protein Description data not found","Accesion Number not found","The number of amino acids for allergen not found","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Taxon author not found","Habitat of species not found","Organism type not found"
"Allergome","Allergen Molecule","Aca s 2","Acaridae,?Acarus siro, Animals, Arthropods, Mites","http://www.allergome.org/script/dettaglio.php?id_molecule=707","Species data not found","Common Name not specified because species data is not included","Protein Description data not found","Accesion Number not found","The number of amino acids for allergen not found","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Taxon author not found","Habitat of species not found","Organism type not found"
"Allergome","Allergen Molecule","Aca s 3","Acaridae,?Acarus siro, Animals, Arthropods, Mites","http://www.allergome.org/script/dettaglio.php?id_molecule=5833","Species data not found","Common Name not specified because species data is not included","Protein Description data not found","Accesion Number not found","The number of amino acids for allergen not found","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Taxon author not found","Habitat of species not found","Organism type not found"
"Allergome","Allergen Molecule","Aca s 4","Acaridae,?Acarus siro, Animals, Arthropods, Mites","http://www.allergome.org/script/dettaglio.php?id_molecule=9894","Species data not found","Common Name not specified because species data is not included","Protein Description data not found","Accesion Number not found","The number of amino acids for allergen not found","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Taxon author not found","Habitat of species not found","Organism type not found"
"Allergome","Allergen Molecule","Aca s 7","Acaridae,?Acarus siro, Animals, Arthropods, Mites","http://www.allergome.org/script/dettaglio.php?id_molecule=5852","Species data not found","Common Name not specified because species data is not included","Protein Description data not found","Accesion Number not found","The number of amino acids for allergen not found","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Taxon author not found","Habitat of species not found","Organism type not found"
"Allergome","Allergen Molecule","Aca s 8","Acaridae,?Acarus siro, Animals, Arthropods, Mites","http://www.allergome.org/script/dettaglio.php?id_molecule=5827","Species data not found","Common Name not specified because species data is not included","Protein Description data not found","Accesion Number not found","The number of amino acids for allergen not found","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Taxon author not found","Habitat of species not found","Organism type not found"
"Allergome","Allergen Molecule","Aca so 1","Acanthocybium forbesi,?Acanthocybium petus,?Acanthocybium solander,?Acanthocybium solandri, Animals, Fishes, Wahoo","http://www.allergome.org/script/dettaglio.php?id_molecule=6203","Species data not found","Common Name not specified because species data is not included","Protein Description data not found","Accesion Number not found","The number of amino acids for allergen not found","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Taxon author not found","Habitat of species not found","Organism type not found"
"Allergome","Allergen Molecule","Ace ja 1","Acetes cochinensis,?Acetes dispa,?Acetes japonicus, Akiami Paste Shrimp, Animals, Crustaceans, Sergestidae","http://www.allergome.org/script/dettaglio.php?id_molecule=8288","Species data not found","Common Name not specified because species data is not included","Protein Description data not found","Accesion Number not found","The number of amino acids for allergen not found","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Taxon author not found","Habitat of species not found","Organism type not found"
"Allergome","Allergen Molecule","Aci pe 1","Acipenser persicus,?Acipenseridae, Animals, Fishes, Persian sturgeon","http://www.allergome.org/script/dettaglio.php?id_molecule=12263","Species data not found","Common Name not specified because species data is not included","Protein Description data not found","Accesion Number not found","The number of amino acids for allergen not found","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Taxon author not found","Habitat of species not found","Organism type not found"
"Allergome","Allergen Molecule","Acr oe 3","Acromyrmex echinatior,?Acromyrmex octospinosus echinatior, Animals, Ant,?Atta octospinosa,?Formicidae, Hymenoptera, Insects, Panamanian Leafcutter Ant","http://www.allergome.org/script/dettaglio.php?id_molecule=11805","Species data not found","Common Name not specified because species data is not included","Protein Description data not found","Accesion Number not found","The number of amino acids for allergen not found","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Taxon author not found","Habitat of species not found","Organism type not found"
"Allergome","Allergen Molecule","Act a 1","Actinidia arguta,?Actinidiaceae, Bower Vine, Hardy Kiwi, Minikiwi, Plants, Siberian Gooseberry, Tara Vine","http://www.allergome.org/script/dettaglio.php?id_molecule=5803","Species data not found","Common Name not specified because species data is not included","Protein Description data not found","Accesion Number not found","The number of amino acids for allergen not found","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Taxon author not found","Habitat of species not found","Organism type not found"
"Allergome","Allergen Molecule","Act a 5","Actinidia arguta,?Actinidiaceae, Bower Vine, Hardy Kiwi, Minikiwi, Plants, Siberian Gooseberry, Tara Vine","http://www.allergome.org/script/dettaglio.php?id_molecule=10786","Species data not found","Common Name not specified because species data is not included","Protein Description data not found","Accesion Number not found","The number of amino acids for allergen not found","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Taxon author not found","Habitat of species not found","Organism type not found"
"Allergome","Allergen Molecule","Act c 1","Actinidia chinensis,?Actinidiaceae, Gold Kiwi, Plants, Yangtao","http://www.allergome.org/script/dettaglio.php?id_molecule=4063","Species data not found","Common Name not specified because species data is not included","Protein Description data not found","Accesion Number not found","The number of amino acids for allergen not found","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Taxon author not found","Habitat of species not found","Organism type not found"
"Allergome","Allergen Molecule","Act c 10","Actinidia chinensis,?Actinidiaceae, Gold Kiwi, Plants, Yangtao","http://www.allergome.org/script/dettaglio.php?id_molecule=5735","Species data not found","Common Name not specified because species data is not included","Protein Description data not found","Accesion Number not found","The number of amino acids for allergen not found","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Taxon author not found","Habitat of species not found","Organism type not found"
