"Database Name","Species","Authority","Habitat","Organism Type","Common Name","Description","IUIS Name","Accession","Length","Link","Route of allergen exposure","Group1","Allergenecity","Gene ID","Biochemical Name","MW(SDS-PAGE)","Source"
"Compare ","Acarus siro","Linnaeus","Terristorial","Animal","Mite","allergen Aca s 13 [Acarus siro]","IUIS Name not found","ABL09307.1","131","http://db.comparedatabase.org/allergens/view/ABL09307.1","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","Data not found for IgE binding only or IgE binding plus biological activity test","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Allergen Source not found"
"Compare ","Acarus siro","Linnaeus","Terristorial","Animal","Mite","allergen Aca s 4 [Acarus siro]","IUIS Name not found","ABL09312.1","517","http://db.comparedatabase.org/allergens/view/ABL09312.1","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","Data not found for IgE binding only or IgE binding plus biological activity test","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Allergen Source not found"
"Compare ","Acheta domesticus","Linnaeus","Terristorial","Animal","house cricket","tropomyosin 1","IUIS Name not found","QCI56568.1","205","http://db.comparedatabase.org/allergens/view/QCI56568.1","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","Data not found for IgE binding only or IgE binding plus biological activity test","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Allergen Source not found"
"Compare ","Acheta domesticus","Linnaeus","Terristorial","Animal","house cricket","tropomyosin 2","IUIS Name not found","QCI56569.1","202","http://db.comparedatabase.org/allergens/view/QCI56569.1","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","Data not found for IgE binding only or IgE binding plus biological activity test","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Allergen Source not found"
"Compare ","Actinidia arguta"," (Siebold & Zucc.) Planch. ex Miq.","Terristorial","Plant","Hardy Kiwi","kiwellin [Actinidia arguta]","IUIS Name not found","AGC39172.1","213","http://db.comparedatabase.org/allergens/view/AGC39172.1","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","Data not found for IgE binding only or IgE binding plus biological activity test","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Allergen Source not found"
"Compare ","Actinidia arguta"," (Siebold & Zucc.) Planch. ex Miq.","Terristorial","Plant","Hardy Kiwi","kiwellin [Actinidia arguta]","IUIS Name not found","AGC39173.1","213","http://db.comparedatabase.org/allergens/view/AGC39173.1","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","Data not found for IgE binding only or IgE binding plus biological activity test","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Allergen Source not found"
"Compare ","Actinidia arguta"," (Siebold & Zucc.) Planch. ex Miq.","Terristorial","Plant","Hardy Kiwi","kiwellin [Actinidia arguta]","IUIS Name not found","AGC39174.1","213","http://db.comparedatabase.org/allergens/view/AGC39174.1","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","Data not found for IgE binding only or IgE binding plus biological activity test","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Allergen Source not found"
"Compare ","Actinidia chinensis"," Planch.","Terristorial","Plant","Gold kiwi fruit","Putative Act c 4; phytocystatin, partial","IUIS Name not found","COMPARE176","11","http://db.comparedatabase.org/allergens/view/COMPARE176","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","Data not found for IgE binding only or IgE binding plus biological activity test","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Allergen Source not found"
"Compare ","Actinidia chinensis"," Planch.","Terristorial","Plant","Kiwi","kiwellin","Act c 5","AGC39168.1","213","http://db.comparedatabase.org/allergens/view/AGC39168.1","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","Data not found for IgE binding only or IgE binding plus biological activity test","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Allergen Source not found"
"Compare ","Actinidia chinensis"," Planch.","Terristorial","Plant","Kiwi","thaumatin-like protein [Actinidia chinensis]","IUIS Name not found","AGC39176.1","225","http://db.comparedatabase.org/allergens/view/AGC39176.1","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","Data not found for IgE binding only or IgE binding plus biological activity test","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Allergen Source not found"
